Alan,female_count,male_count
1927,63,808
1928,66,965
1929,61,1100
1930,33,1303
1931,31,1421
1932,30,1338
1933,61,1343
1934,50,1368
1935,81,1425
1936,59,1756
1937,29,1844
1938,81,2240
1939,61,2331
1940,102,2377
1941,136,2625
1942,199,3136
1943,337,3856
1944,686,4276
1945,986,5073
1946,1733,6491
1947,2013,7822
1948,1881,7391
1949,2621,7257
1950,2802,7735
1951,2973,8406
1952,3532,8313
1953,3376,8439
1954,3960,8706
1955,4127,9027
1956,4712,8721
1957,5481,8212
1958,5880,8228
1959,6232,8152
1960,7242,8354
1961,9266,8620
1962,10980,7709
1963,11761,6936
1964,12959,6809
1965,15211,5622
1966,18216,4947
1967,18238,4567
1968,26850,3988
1969,33705,3864
1970,46160,3560
1971,56786,3168
1972,63606,2577
1973,62454,2270
1974,63111,2234
1975,58185,2249
1976,59479,2188
1977,58960,2133
1978,56311,2118
1979,56715,2327
1980,58385,2670
1981,57041,2594
1982,57109,2683
1983,54336,2768
1984,50559,2699
1985,42649,2682
1986,36181,2643
1987,32693,2585
1988,27885,2753
1989,23991,2725
1990,22221,2639
1991,20669,2543
1992,17817,2604
1993,15748,2561
1994,13997,2433
1995,12685,2291
1996,11728,2445
1997,11837,2177
1998,10687,2137
1999,10610,2248
2000,9385,2413
2001,8920,2644
2002,8536,2622
2003,7564,3096
2004,6541,3062
2005,5832,3204
2006,5265,3470
2007,4648,3245
2008,3791,3026
2009,2986,2842
2010,2616,2512
2011,2276,2339
2012,1921,2281
2013,1688,2600
2014,1514,2490
