Ben,female_count,male_count
1927,248,1012
1928,230,986
1929,201,958
1930,242,987
1931,171,911
1932,174,965
1933,146,867
1934,160,832
1935,154,891
1936,127,816
1937,144,815
1938,141,846
1939,143,707
1940,102,815
1941,136,766
1942,199,851
1943,337,835
1944,686,754
1945,986,716
1946,1733,820
1947,2013,887
1948,1881,871
1949,2621,761
1950,2802,720
1951,2973,687
1952,3532,720
1953,3376,743
1954,3960,754
1955,4127,736
1956,4712,739
1957,5481,854
1958,5880,871
1959,6232,934
1960,7242,955
1961,9266,933
1962,10980,1045
1963,11761,946
1964,12959,870
1965,15211,728
1966,18216,682
1967,18238,555
1968,26850,630
1969,33705,581
1970,46160,620
1971,56786,578
1972,63606,594
1973,62454,535
1974,63111,541
1975,58185,606
1976,59479,590
1977,58960,624
1978,56311,571
1979,56715,549
1980,58385,518
1981,57041,520
1982,57109,433
1983,54336,430
1984,50559,441
1985,42649,426
1986,36181,429
1987,32693,425
1988,27885,430
1989,23991,436
1990,22221,366
1991,20669,351
1992,17817,357
1993,15748,331
1994,13997,292
1995,12685,322
1996,11728,314
1997,11837,370
1998,10687,349
1999,10610,384
2000,9385,375
2001,8920,390
2002,8536,405
2003,7564,439
2004,6541,450
2005,5832,444
2006,5265,454
2007,4648,409
2008,3791,404
2009,2986,386
2010,2616,336
2011,2276,342
2012,1921,306
2013,1688,304
2014,1514,329
