Bruce,female_count,male_count
1927,63,1458
1928,66,1630
1929,61,1615
1930,33,1713
1931,31,1787
1932,30,1937
1933,61,2035
1934,50,2402
1935,81,2448
1936,59,2629
1937,29,2808
1938,81,3128
1939,61,3232
1940,102,3789
1941,136,4296
1942,199,5383
1943,337,5432
1944,686,5259
1945,986,5611
1946,1733,8457
1947,2013,10528
1948,1881,11063
1949,2621,12268
1950,2802,12667
1951,2973,14071
1952,3532,14491
1953,3376,14012
1954,3960,14141
1955,4127,14074
1956,4712,14651
1957,5481,13876
1958,5880,12454
1959,6232,11909
1960,7242,10950
1961,9266,10719
1962,10980,10043
1963,11761,9291
1964,12959,7897
1965,15211,6326
1966,18216,5842
1967,18238,5071
1968,26850,4489
1969,33705,4048
1970,46160,3488
1971,56786,2969
1972,63606,2317
1973,62454,1914
1974,63111,1855
1975,58185,1793
1976,59479,1690
1977,58960,1703
1978,56311,1701
1979,56715,1713
1980,58385,1651
1981,57041,1632
1982,57109,1584
1983,54336,1437
1984,50559,1461
1985,42649,1412
1986,36181,1348
1987,32693,1303
1988,27885,1282
1989,23991,1212
1990,22221,1168
1991,20669,1040
1992,17817,922
1993,15748,821
1994,13997,747
1995,12685,665
1996,11728,663
1997,11837,630
1998,10687,651
1999,10610,588
2000,9385,563
2001,8920,579
2002,8536,510
2003,7564,508
2004,6541,531
2005,5832,489
2006,5265,549
2007,4648,636
2008,3791,579
2009,2986,585
2010,2616,485
2011,2276,573
2012,1921,667
2013,1688,705
2014,1514,770
