Daniel,female_count,male_count
1927,248,4615
1928,230,4436
1929,201,4367
1930,242,4465
1931,171,4358
1932,174,4448
1933,146,4310
1934,160,4500
1935,154,4590
1936,127,4815
1937,144,5126
1938,141,5580
1939,143,5798
1940,102,6219
1941,136,7050
1942,199,8506
1943,337,9168
1944,686,9315
1945,986,9707
1946,1733,12865
1947,2013,15191
1948,1881,16512
1949,2621,18237
1950,2802,19184
1951,2973,21100
1952,3532,23429
1953,3376,23472
1954,3960,25261
1955,4127,26432
1956,4712,26629
1957,5481,27305
1958,5880,25607
1959,6232,25134
1960,7242,25970
1961,9266,25884
1962,10980,25553
1963,11761,24834
1964,12959,24354
1965,15211,24862
1966,18216,23273
1967,18238,22219
1968,103,22026
1969,33705,23197
1970,101,23545
1971,116,21784
1972,132,22115
1973,142,23696
1974,153,23842
1975,165,23830
1976,172,24726
1977,192,26077
1978,177,26445
1979,202,28521
1980,220,29889
1981,213,30991
1982,255,32648
1983,258,34739
1984,269,36511
1985,293,38530
1986,288,36554
1987,263,35859
1988,282,34683
1989,188,34986
1990,148,33809
1991,166,30909
1992,146,29141
1993,130,28670
1994,130,28049
1995,105,26702
1996,11728,25095
1997,11837,23924
1998,10687,23135
1999,10610,22671
2000,9385,22307
2001,8920,20972
2002,8536,21303
2003,7564,21030
2004,6541,20971
2005,5832,20201
2006,5265,20048
2007,4648,20231
2008,3791,18985
2009,2986,17521
2010,2616,15815
2011,2276,15249
2012,1921,14234
2013,1688,14219
2014,1514,13829
