David,female_count,male_count
1927,320,9430
1928,349,9997
1929,337,11293
1930,289,12277
1931,238,11776
1932,235,12135
1933,195,12020
1934,175,13998
1935,163,15660
1936,154,17476
1937,164,20976
1938,138,22990
1939,153,25359
1940,151,27683
1941,139,30551
1942,114,35892
1943,110,37237
1944,168,37374
1945,158,37093
1946,105,46435
1947,111,57797
1948,123,56611
1949,116,59610
1950,135,60733
1951,102,64741
1952,134,71762
1953,151,76037
1954,153,79528
1955,149,86191
1956,158,81603
1957,166,82367
1958,205,82585
1959,238,83921
1960,222,85931
1961,234,84771
1962,291,81328
1963,236,78482
1964,249,75066
1965,220,67886
1966,230,66447
1967,283,66805
1968,265,63739
1969,296,63728
1970,289,61776
1971,260,53136
1972,237,46382
1973,225,41110
1974,234,41798
1975,237,39172
1976,229,39296
1977,252,40548
1978,245,40698
1979,285,42069
1980,291,41913
1981,224,40643
1982,249,40441
1983,321,39192
1984,234,38471
1985,291,38502
1986,274,37133
1987,252,36776
1988,250,35304
1989,148,35203
1990,120,33741
1991,267,30414
1992,117,28403
1993,222,27017
1994,191,24858
1995,167,23029
1996,157,22993
1997,142,21869
1998,128,20869
1999,123,20318
2000,114,19749
2001,112,19330
2002,8536,18662
2003,7564,18602
2004,148,18372
2005,5832,18097
2006,5265,17610
2007,4648,17515
2008,3791,16299
2009,2986,15420
2010,2616,14171
2011,2276,13194
2012,1921,12494
2013,1688,12308
2014,1514,12078
