Desmond,female_count,male_count
1927,63,1971
1928,66,2092
1929,61,2104
1930,33,2240
1931,31,2318
1932,30,2427
1933,61,2219
1934,50,2478
1935,81,2388
1936,59,2408
1937,29,2363
1938,81,2204
1939,61,2242
1940,102,2082
1941,136,2074
1942,199,2203
1943,337,2274
1944,686,2133
1945,986,2175
1946,1733,2492
1947,2013,2514
1948,1881,1960
1949,2621,1465
1950,2802,978
1951,2973,808
1952,3532,754
1953,3376,695
1954,3960,695
1955,4127,797
1956,4712,1019
1957,5481,1814
1958,5880,2521
1959,6232,2824
1960,7242,2720
1961,9266,2501
1962,10980,2166
1963,11761,116
1964,12959,135
1965,15211,124
1966,18216,121
1967,18238,148
1968,26850,127
1969,33705,134
1970,46160,165
1971,56786,225
1972,63606,246
1973,62454,279
1974,63111,314
1975,58185,240
1976,59479,257
1977,58960,370
1978,56311,527
1979,56715,442
1980,58385,527
1981,57041,387
1982,57109,355
1983,54336,357
1984,50559,376
1985,42649,676
1986,36181,677
1987,32693,594
1988,27885,691
1989,23991,758
1990,22221,870
1991,20669,835
1992,17817,1067
1993,15748,752
1994,13997,670
1995,12685,667
1996,11728,626
1997,11837,885
1998,10687,741
1999,10610,742
2000,9385,698
2001,8920,636
2002,8536,582
2003,7564,556
2004,6541,542
2005,5832,530
2006,5265,582
2007,4648,676
2008,3791,720
2009,2986,788
2010,2616,877
2011,2276,841
2012,1921,921
2013,1688,976
2014,1514,1029
