Gary,female_count,male_count
1927,4699,131
1928,4408,228
1929,4352,537
1930,4574,716
1931,4535,992
1932,4345,1294
1933,4378,2252
1934,4357,3356
1935,4644,4490
1936,4720,5190
1937,4701,6769
1938,4787,8855
1939,4770,9680
1940,5090,12567
1941,5088,14567
1942,5708,17066
1943,6028,17861
1944,6565,20052
1945,7640,21342
1946,8969,26916
1947,9941,30029
1948,8780,28378
1949,8720,28929
1950,8966,33753
1951,8929,38123
1952,9323,38733
1953,8902,36931
1954,8353,37898
1955,8332,34393
1956,8248,31796
1957,7784,29513
1958,7191,25270
1959,6872,23296
1960,6584,21687
1961,6361,22152
1962,6115,20894
1963,5766,18922
1964,4568,17207
1965,3930,15281
1966,3215,14155
1967,2728,12616
1968,2195,11982
1969,1880,11153
1970,1599,10727
1971,1305,9193
1972,1161,7767
1973,960,6855
1974,828,6444
1975,783,6120
1976,698,5590
1977,743,5444
1978,699,5117
1979,718,5039
1980,773,5038
1981,763,4947
1982,840,4637
1983,782,4271
1984,725,3950
1985,709,3811
1986,667,3719
1987,667,3484
1988,719,3243
1989,103,3128
1990,137,3069
1991,131,2677
1992,131,2390
1993,143,2064
1994,139,1898
1995,123,1625
1996,114,1542
1997,115,1326
1998,161,1345
1999,115,1252
2000,647,1167
2001,670,1013
2002,696,1042
2003,704,911
2004,657,924
2005,650,878
2006,664,868
2007,774,778
2008,826,679
2009,831,610
2010,833,545
2011,867,526
2012,145,488
2013,179,443
2014,203,490
