George,female_count,male_count
1927,248,25953
1928,230,24398
1929,201,23012
1930,242,22770
1931,171,20677
1932,174,20434
1933,146,18352
1934,160,18494
1935,154,18553
1936,127,18190
1937,144,18430
1938,141,18433
1939,143,17887
1940,129,18307
1941,114,19258
1942,149,21270
1943,150,21677
1944,128,20421
1945,128,19314
1946,119,21565
1947,120,23914
1948,131,21914
1949,109,21326
1950,112,20172
1951,109,20202
1952,110,19811
1953,102,19158
1954,103,18683
1955,108,18153
1956,45,17231
1957,105,16868
1958,78,15640
1959,105,15001
1960,77,14062
1961,51,13635
1962,25,12559
1963,82,12088
1964,58,11798
1965,53,10687
1966,10,9939
1967,74,9704
1968,32,9389
1969,23,9203
1970,7,8923
1971,58,8228
1972,97,7163
1973,27,6606
1974,78,6283
1975,82,5840
1976,98,5563
1977,31,5602
1978,66,5293
1979,75,5254
1980,57,5294
1981,78,5158
1982,68,4987
1983,67,4487
1984,68,4262
1985,34,4254
1986,85,4342
1987,71,4086
1988,36,4291
1989,95,4510
1990,53,4564
1991,18,4176
1992,1,3892
1993,95,3511
1994,50,3318
1995,81,3286
1996,83,3226
1997,18,3175
1998,96,3044
1999,29,3041
2000,31,3034
2001,5,3084
2002,68,3013
2003,45,2909
2004,41,2734
2005,3,2822
2006,1,2699
2007,98,2757
2008,55,2550
2009,87,2380
2010,11,2367
2011,76,2315
2012,39,2330
2013,49,2539
2014,29,2988
