Harrison,female_count,male_count
1927,63,294
1928,66,274
1929,61,223
1930,33,240
1931,31,226
1932,30,252
1933,61,234
1934,50,202
1935,81,200
1936,59,181
1937,29,211
1938,81,216
1939,61,202
1940,102,179
1941,136,177
1942,199,211
1943,337,233
1944,686,179
1945,986,224
1946,1733,196
1947,2013,263
1948,1881,240
1949,2621,231
1950,2802,217
1951,2973,217
1952,3532,229
1953,3376,219
1954,3960,204
1955,4127,190
1956,4712,190
1957,5481,200
1958,5880,178
1959,6232,190
1960,7242,175
1961,9266,140
1962,10980,168
1963,11761,158
1964,12959,132
1965,15211,117
1966,18216,130
1967,18238,133
1968,26850,111
1969,33705,117
1970,46160,121
1971,56786,2969
1972,63606,115
1973,62454,117
1974,63111,108
1975,58185,111
1976,59479,103
1977,58960,1703
1978,56311,1701
1979,56715,104
1980,58385,135
1981,57041,140
1982,57109,201
1983,54336,226
1984,50559,222
1985,42649,414
1986,36181,463
1987,32693,592
1988,27885,693
1989,23991,884
1990,22221,928
1991,20669,982
1992,17817,1019
1993,15748,1029
1994,13997,1331
1995,12685,1360
1996,11728,1478
1997,11837,1824
1998,10687,1903
1999,10610,1925
2000,9385,1981
2001,8920,1798
2002,8536,1866
2003,7564,1697
2004,6541,1728
2005,5832,1717
2006,5265,1557
2007,4648,1653
2008,3791,1735
2009,2986,1464
2010,2616,1490
2011,2276,1827
2012,1921,2122
2013,1688,2502
2014,1514,3184
