Jane,female_count,male_count
1927,4699,17016
1928,4408,16577
1929,4352,16267
1930,4574,17016
1931,4535,112
1932,4345,121
1933,4378,133
1934,4357,151
1935,4644,176
1936,4720,154
1937,4701,178
1938,4787,246
1939,4770,273
1940,5090,298
1941,5088,420
1942,5708,530
1943,6028,640
1944,6565,594
1945,7640,691
1946,8969,1036
1947,9941,1553
1948,8780,2233
1949,8720,3299
1950,8966,4761
1951,8929,6338
1952,9323,7928
1953,8902,10004
1954,8353,15321
1955,8332,17144
1956,8248,21767
1957,7784,24283
1958,7191,24647
1959,6872,26759
1960,6584,28391
1961,6361,28905
1962,6115,28356
1963,5766,30625
1964,4568,29367
1965,3930,28192
1966,3215,25600
1967,2728,24622
1968,2195,23880
1969,1880,23581
1970,1599,26989
1971,1305,24876
1972,1161,22368
1973,960,20799
1974,828,19475
1975,783,18089
1976,698,18487
1977,743,22482
1978,699,20111
1979,718,18737
1980,773,17976
1981,763,17458
1982,840,17461
1983,782,17372
1984,725,17854
1985,709,18806
1986,667,19930
1987,667,20406
1988,719,20158
1989,780,21199
1990,771,20401
1991,708,20258
1992,651,19634
1993,687,19075
1994,706,17305
1995,618,15852
1996,638,14578
1997,648,13291
1998,638,12507
1999,618,12251
2000,647,12666
2001,670,12591
2002,696,12043
2003,704,11727
2004,657,11212
2005,650,10904
2006,664,10774
2007,774,10529
2008,826,9786
2009,831,8766
2010,833,7318
2011,867,6551
2012,927,6214
2013,898,5918
2014,1018,5859
