Jean,female_count,male_count
1927,12506,263
1928,12207,327
1929,11863,288
1930,11985,288
1931,11013,287
1932,10668,240
1933,9966,204
1934,9715,178
1935,8851,195
1936,8536,179
1937,8393,156
1938,7763,166
1939,7288,157
1940,8063,151
1941,7838,152
1942,8254,158
1943,8098,163
1944,7649,172
1945,7426,157
1946,8555,151
1947,8942,155
1948,7774,150
1949,7761,164
1950,7431,166
1951,7624,140
1952,7513,147
1953,7563,122
1954,7662,159
1955,7481,152
1956,7175,169
1957,7045,167
1958,6520,146
1959,6236,152
1960,5640,144
1961,5367,156
1962,4878,136
1963,4480,150
1964,4100,165
1965,3365,200
1966,2917,200
1967,2549,207
1968,2079,231
1969,1907,234
1970,2110,273
1971,1776,294
1972,1300,227
1973,1112,226
1974,960,229
1975,885,193
1976,811,219
1977,765,180
1978,654,182
1979,658,206
1980,681,214
1981,605,237
1982,603,271
1983,524,278
1984,518,268
1985,463,250
1986,401,259
1987,379,282
1988,329,289
1989,348,261
1990,265,356
1991,274,306
1992,211,363
1993,214,428
1994,188,296
1995,158,291
1996,140,240
1997,137,249
1998,151,190
1999,109,246
2000,118,291
2001,112,286
2002,8536,261
2003,7564,267
2004,6541,294
2005,5832,242
2006,5265,299
2007,4648,241
2008,3791,222
2009,2986,210
2010,2616,272
2011,2276,209
2012,1921,190
2013,1688,185
2014,1514,183
