Jennifer,female_count,male_count
1927,248,25953
1928,230,24398
1929,201,23012
1930,242,22770
1931,171,20677
1932,174,20434
1933,146,18352
1934,160,18494
1935,154,18553
1936,127,18190
1937,144,18430
1938,141,18433
1939,143,17887
1940,102,18307
1941,136,19258
1942,199,21270
1943,337,21677
1944,686,20421
1945,986,19314
1946,1733,21565
1947,2013,23914
1948,1881,21914
1949,2621,21326
1950,2802,20172
1951,2973,20202
1952,3532,19811
1953,3376,19158
1954,3960,18683
1955,4127,18153
1956,4712,17231
1957,5481,16868
1958,5880,15640
1959,6232,15001
1960,7242,14062
1961,9266,13635
1962,10980,12559
1963,11761,12088
1964,12959,11798
1965,15211,10687
1966,18216,9939
1967,18238,9704
1968,26850,9389
1969,33705,9203
1970,46160,119
1971,56786,194
1972,63606,190
1973,62454,220
1974,63111,185
1975,58185,225
1976,59479,200
1977,58960,179
1978,56311,203
1979,56715,206
1980,58385,210
1981,57041,192
1982,57109,183
1983,54336,196
1984,50559,204
1985,42649,161
1986,36181,163
1987,32693,113
1988,27885,114
1989,23991,146
1990,22221,4564
1991,20669,4176
1992,17817,3892
1993,15748,3511
1994,13997,3318
1995,12685,3286
1996,11728,3226
1997,11837,3175
1998,10687,3044
1999,10610,3041
2000,9385,3034
2001,8920,3084
2002,8536,3013
2003,7564,2909
2004,6541,2734
2005,5832,2822
2006,5265,2699
2007,4648,2757
2008,3791,2550
2009,2986,2380
2010,2616,2367
2011,2276,2315
2012,1921,2330
2013,1688,2539
2014,1514,2988
