John,female_count,male_count
1927,440,55948
1928,425,53747
1929,410,52102
1930,402,52431
1931,325,48401
1932,298,48596
1933,226,46220
1934,257,46736
1935,208,47492
1936,203,47661
1937,218,48739
1938,216,50507
1939,228,51021
1940,208,54763
1941,221,57511
1942,240,66021
1943,229,68917
1944,180,66610
1945,198,66123
1946,208,79248
1947,203,88318
1948,192,82826
1949,199,81154
1950,180,79410
1951,204,81512
1952,196,83121
1953,162,80072
1954,185,81128
1955,186,80018
1956,222,80760
1957,225,78983
1958,207,75986
1959,231,76428
1960,242,76121
1961,277,79904
1962,284,78447
1963,260,78647
1964,264,82536
1965,252,71563
1966,284,65056
1967,289,61629
1968,306,60924
1969,288,58791
1970,290,58540
1971,272,51519
1972,224,43183
1973,229,39175
1974,253,37655
1975,232,35098
1976,210,33989
1977,218,34232
1978,221,34026
1979,245,35434
1980,251,35263
1981,196,34877
1982,234,34683
1983,266,33142
1984,237,32591
1985,233,31490
1986,220,30183
1987,197,29533
1988,167,29390
1989,134,29836
1990,120,29067
1991,267,27798
1992,117,26240
1993,222,24989
1994,191,24173
1995,167,23230
1996,157,22164
1997,142,21369
1998,128,20612
1999,123,20338
2000,114,20081
2001,112,18878
2002,8536,17437
2003,7564,17221
2004,148,16436
2005,5832,15758
2006,5265,15153
2007,4648,14423
2008,3791,13307
2009,2986,12100
2010,2616,11539
2011,2276,11020
2012,1921,10593
2013,1688,10670
2014,1514,10600
