Johnny,female_count,male_count
1927,63,1351
1928,66,1528
1929,61,1532
1930,33,1819
1931,31,1718
1932,30,2013
1933,61,2051
1934,50,2336
1935,81,2532
1936,59,2731
1937,29,2824
1938,81,3195
1939,61,3373
1940,102,3995
1941,136,3984
1942,199,4582
1943,337,5379
1944,686,5661
1945,986,5698
1946,1733,6606
1947,2013,7444
1948,1881,6854
1949,2621,6971
1950,2802,6587
1951,2973,6695
1952,3532,6784
1953,3376,6691
1954,3960,6595
1955,4127,6620
1956,4712,6634
1957,5481,6496
1958,5880,6318
1959,6232,6306
1960,7242,6181
1961,9266,5900
1962,10980,5779
1963,11761,5421
1964,12959,5061
1965,15211,4686
1966,18216,4365
1967,18238,4167
1968,26850,4053
1969,33705,4217
1970,46160,4442
1971,56786,3939
1972,63606,3567
1973,62454,3266
1974,63111,3169
1975,58185,2971
1976,59479,2872
1977,58960,2804
1978,56311,2560
1979,56715,2446
1980,58385,2641
1981,57041,2555
1982,57109,2489
1983,54336,2364
1984,50559,2267
1985,42649,2210
1986,36181,2205
1987,32693,2199
1988,27885,2266
1989,23991,2297
1990,22221,2480
1991,20669,2246
1992,17817,2094
1993,15748,1964
1994,13997,1945
1995,12685,1683
1996,11728,1610
1997,11837,1462
1998,10687,1478
1999,10610,1489
2000,9385,1459
2001,8920,1533
2002,8536,1434
2003,7564,1365
2004,6541,1314
2005,5832,1392
2006,5265,1455
2007,4648,1502
2008,3791,1474
2009,2986,1339
2010,2616,1291
2011,2276,1247
2012,1921,1232
2013,1688,1321
2014,1514,1176
