Marlon,female_count,male_count
1927,248,3303
1928,230,3300
1929,201,3217
1930,242,3267
1931,171,3118
1932,174,3130
1933,146,3134
1934,160,3290
1935,154,3421
1936,127,3715
1937,144,3809
1938,141,4295
1939,143,4643
1940,102,5050
1941,136,5614
1942,199,6587
1943,337,6876
1944,686,6340
1945,986,6486
1946,1733,7484
1947,2013,8591
1948,1881,8050
1949,2621,8262
1950,2802,8367
1951,2973,9012
1952,3532,9578
1953,3376,9729
1954,3960,206
1955,4127,446
1956,4712,363
1957,5481,295
1958,5880,346
1959,6232,268
1960,7242,295
1961,9266,304
1962,10980,290
1963,11761,350
1964,12959,267
1965,15211,260
1966,18216,259
1967,18238,310
1968,26850,236
1969,33705,231
1970,46160,458
1971,56786,766
1972,63606,1028
1973,62454,903
1974,63111,758
1975,58185,640
1976,59479,744
1977,58960,650
1978,56311,532
1979,56715,590
1980,58385,538
1981,57041,429
1982,57109,456
1983,54336,402
1984,50559,475
1985,42649,509
1986,36181,401
1987,32693,415
1988,27885,487
1989,23991,412
1990,22221,469
1991,20669,481
1992,17817,452
1993,15748,436
1994,13997,445
1995,12685,443
1996,11728,465
1997,11837,479
1998,10687,442
1999,10610,437
2000,9385,452
2001,8920,454
2002,8536,447
2003,7564,461
2004,6541,460
2005,5832,478
2006,5265,507
2007,4648,467
2008,3791,455
2009,2986,380
2010,2616,411
2011,2276,367
2012,1921,339
2013,1688,327
2014,1514,314
