Michael,female_count,male_count
1927,320,3606
1928,349,3595
1929,337,3463
1930,289,3541
1931,238,3491
1932,235,3609
1933,195,3544
1934,175,4107
1935,163,4906
1936,154,5802
1937,164,7094
1938,138,9079
1939,153,10824
1940,151,13231
1941,139,15930
1942,157,21728
1943,188,24741
1944,168,26732
1945,158,29912
1946,170,41178
1947,172,50495
1948,169,52569
1949,189,60041
1950,179,65154
1951,172,72750
1952,190,79022
1953,236,84164
1954,216,88485
1955,251,88283
1956,244,90633
1957,254,92709
1958,295,90519
1959,284,85272
1960,318,84206
1961,326,86916
1962,355,85046
1963,377,83795
1964,301,82674
1965,355,81048
1966,346,80002
1967,372,82454
1968,474,82019
1969,457,85227
1970,457,85321
1971,459,77611
1972,451,71426
1973,451,67864
1974,525,67577
1975,557,68457
1976,515,66971
1977,561,67611
1978,545,67153
1979,553,67728
1980,546,68666
1981,487,68752
1982,576,68204
1983,577,67986
1984,508,67722
1985,531,64887
1986,590,64184
1987,544,63631
1988,480,64116
1989,363,65374
1990,277,65274
1991,267,60781
1992,258,54377
1993,222,49553
1994,191,44465
1995,167,41403
1996,157,38364
1997,142,37543
1998,128,36613
1999,123,33905
2000,114,32025
2001,112,29675
2002,8536,28242
2003,7564,27107
2004,148,25438
2005,5832,23795
2006,5265,22625
2007,4648,21964
2008,3791,20590
2009,2986,18909
2010,2616,17308
2011,2276,16744
2012,1921,16106
2013,1688,15426
2014,1514,15323
