Ray,female_count,male_count
1927,108,3250
1928,4408,3252
1929,116,3175
1930,102,3249
1931,4535,3160
1932,4345,3258
1933,4378,3032
1934,4357,3173
1935,4644,3068
1936,4720,2940
1937,4701,2723
1938,4787,2880
1939,4770,2709
1940,5090,2792
1941,5088,2695
1942,5708,3063
1943,6028,3064
1944,6565,2903
1945,7640,2740
1946,8969,3167
1947,9941,3381
1948,8780,3133
1949,8720,2714
1950,8966,2632
1951,8929,2674
1952,9323,2695
1953,8902,2804
1954,8353,2975
1955,8332,3068
1956,8248,3230
1957,7784,3412
1958,7191,3183
1959,6872,3219
1960,6584,3079
1961,6361,2923
1962,6115,2676
1963,5766,2582
1964,4568,2274
1965,3930,2090
1966,3215,1826
1967,2728,1620
1968,2195,1596
1969,1880,1525
1970,1599,1464
1971,1305,1266
1972,1161,1178
1973,960,1046
1974,828,956
1975,783,894
1976,698,849
1977,743,808
1978,699,792
1979,718,825
1980,773,841
1981,763,855
1982,840,866
1983,782,764
1984,725,765
1985,709,768
1986,667,739
1987,667,769
1988,719,743
1989,103,722
1990,137,755
1991,131,693
1992,131,582
1993,143,562
1994,139,564
1995,123,495
1996,114,444
1997,115,443
1998,161,445
1999,115,414
2000,647,435
2001,670,360
2002,696,376
2003,704,336
2004,657,391
2005,650,420
2006,664,449
2007,774,381
2008,826,369
2009,831,365
2010,833,364
2011,867,344
2012,145,323
2013,179,356
2014,203,323
