Spencer,female_count,male_count
1927,4699,180
1928,4408,168
1929,4352,158
1930,4574,152
1931,4535,141
1932,4345,151
1933,4378,155
1934,4357,185
1935,4644,163
1936,4720,193
1937,4701,180
1938,4787,205
1939,4770,261
1940,5090,259
1941,5088,290
1942,5708,314
1943,6028,351
1944,6565,283
1945,7640,266
1946,8969,303
1947,9941,337
1948,8780,314
1949,8720,320
1950,8966,321
1951,8929,394
1952,9323,339
1953,8902,294
1954,8353,293
1955,8332,327
1956,8248,306
1957,7784,274
1958,7191,285
1959,6872,319
1960,6584,358
1961,6361,397
1962,6115,380
1963,5766,411
1964,4568,425
1965,3930,455
1966,3215,368
1967,2728,377
1968,2195,540
1969,1880,709
1970,1599,720
1971,1305,623
1972,1161,621
1973,960,592
1974,828,563
1975,783,696
1976,698,770
1977,743,732
1978,699,738
1979,718,850
1980,773,719
1981,763,824
1982,840,926
1983,782,941
1984,725,936
1985,709,1115
1986,667,1643
1987,667,2248
1988,719,2693
1989,103,3126
1990,137,3418
1991,131,3560
1992,131,3693
1993,143,3884
1994,139,3811
1995,123,3618
1996,114,3609
1997,115,3766
1998,161,4619
1999,115,4192
2000,647,4043
2001,670,3729
2002,696,3448
2003,704,2906
2004,657,2661
2005,650,2313
2006,664,2185
2007,774,2365
2008,826,2088
2009,831,1692
2010,833,1551
2011,867,1581
2012,145,1530
2013,179,1451
2014,203,1506
