Thomas,female_count,male_count
1927,116,17016
1928,142,16577
1929,121,16267
1930,128,17016
1931,17,16837
1932,98,16827
1933,9,16498
1934,17,17369
1935,10,17674
1936,96,18340
1937,47,19772
1938,10,21373
1939,38,22124
1940,64,23985
1941,36,26641
1942,103,31102
1943,21,32865
1944,95,31595
1945,55,31877
1946,109,38864
1947,103,44838
1948,73,43798
1949,65,45201
1950,57,45620
1951,40,48237
1952,41,48617
1953,101,46967
1954,86,47131
1955,4,45807
1956,103,44800
1957,110,44580
1958,117,42062
1959,126,40286
1960,120,39299
1961,110,37544
1962,113,36536
1963,136,35509
1964,113,34464
1965,112,31635
1966,118,29017
1967,138,28285
1968,122,27456
1969,103,27491
1970,132,26689
1971,131,23165
1972,52,19571
1973,101,17941
1974,67,17286
1975,50,16558
1976,101,16119
1977,123,16602
1978,131,16490
1979,122,16475
1980,111,17566
1981,111,17162
1982,110,17576
1983,147,17559
1984,118,17588
1985,113,17590
1986,128,17343
1987,125,18120
1988,117,18791
1989,43,18431
1990,92,18214
1991,72,16780
1992,76,15283
1993,30,14859
1994,88,14903
1995,2,14159
1996,72,13797
1997,49,12894
1998,15,12883
1999,70,12790
2000,98,12638
2001,57,12147
2002,92,11291
2003,6,10930
2004,66,10495
2005,1,10033
2006,10,9504
2007,99,8921
2008,34,8349
2009,17,7715
2010,57,7114
2011,19,6896
2012,33,6823
2013,92,6756
2014,97,6972
