Will,female_count,male_count
1927,63,300
1928,66,324
1929,61,276
1930,33,259
1931,31,237
1932,30,242
1933,61,223
1934,50,215
1935,81,306
1936,59,235
1937,29,229
1938,81,231
1939,61,226
1940,102,209
1941,136,226
1942,199,221
1943,337,205
1944,686,235
1945,986,191
1946,1733,207
1947,2013,209
1948,1881,237
1949,2621,221
1950,2802,223
1951,2973,192
1952,3532,214
1953,3376,204
1954,3960,207
1955,4127,158
1956,4712,192
1957,5481,219
1958,5880,182
1959,6232,205
1960,7242,226
1961,9266,223
1962,10980,202
1963,11761,241
1964,12959,237
1965,15211,196
1966,18216,206
1967,18238,167
1968,26850,214
1969,33705,192
1970,46160,231
1971,56786,208
1972,63606,184
1973,62454,207
1974,63111,224
1975,58185,224
1976,59479,223
1977,58960,225
1978,56311,233
1979,56715,273
1980,58385,271
1981,57041,233
1982,57109,262
1983,54336,223
1984,50559,205
1985,42649,201
1986,36181,204
1987,32693,233
1988,27885,241
1989,23991,277
1990,22221,289
1991,20669,295
1992,17817,252
1993,15748,268
1994,13997,247
1995,12685,266
1996,11728,280
1997,11837,268
1998,10687,339
1999,10610,422
2000,9385,447
2001,8920,388
2002,8536,403
2003,7564,433
2004,6541,452
2005,5832,503
2006,5265,473
2007,4648,456
2008,3791,432
2009,2986,457
2010,2616,396
2011,2276,356
2012,1921,352
2013,1688,313
2014,1514,307
